model_id,model_name,model_family,developer,sizes,types,benchmark_count,total_results,avg_score,model_type,model_size,provider,type,base_model,year_evaluated,inference_platform,inference_engine,organization,release_date,architecture,context_window,license,url,parameters_billion,release_date_source
deepseek-llm-67b-chat,deepseek-ai/deepseek-llm-67b-chat,,deepseek-ai,,,7.0,7.0,179.41,open,,,,,,,,,2023-08,,,,,,sourced_evidence
deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-base,,deepseek-ai,,,6.0,6.0,8.23,open,,,,,,,,,2023-08,,,,,,sourced_evidence
deepseek-llm-7b-chat,deepseek-ai/deepseek-llm-7b-chat,,deepseek-ai,,,6.0,6.0,14.82,open,,,,,,,,,2023-08,,,,,,sourced_evidence
deepseek-moe-16b-base,deepseek-ai/deepseek-moe-16b-base,,deepseek-ai,,,6.0,6.0,7.47,open,,,,,,,,,2024-01,,,,,,hf_createdat
deepseek-moe-16b-chat,deepseek-ai/deepseek-moe-16b-chat,,deepseek-ai,,,6.0,6.0,10.29,open,,,,,,,,,2024-01,,,,,,hf_createdat
distilgpt2,distilgpt2,,Hugging Face,,,6.0,6.0,4.00,open,,,,,,,,,2019-10,,,,,,sourced_evidence
opt-1.3b,facebook/opt-1.3b,,facebook,,,12.0,12.0,19.94,open,,,,,,,,,2022-05,,,,,,hf_createdat
opt-125m,facebook/opt-125m,,facebook,,,6.0,6.0,29.15,open,,,,,,,,,2022-05,,,,,,hf_createdat
opt-13b,facebook/opt-13b,,facebook,,,7.0,7.0,39.47,open,,,,,,,,,2022-05,,,,,,hf_createdat
opt-2.7b,facebook/opt-2.7b,,facebook,,,6.0,6.0,36.74,open,,,,,,,,,2022-05,,,,,,hf_createdat
opt-30b,facebook/opt-30b,,facebook,,,12.0,12.0,24.14,open,,,,,,,,,2022-05,,,,,,hf_createdat
opt-350m,facebook/opt-350m,,facebook,,,6.0,6.0,30.01,open,,,,,,,,,2022-05,,,,,,hf_createdat
opt-6.7b,facebook/opt-6.7b,,facebook,,,6.0,6.0,39.08,open,,,,,,,,,2022-05,,,,,,hf_createdat
opt-iml-max-1.3b,facebook/opt-iml-max-1.3b,,facebook,,,6.0,6.0,35.21,open,,,,,,,,,2023-01,,,,,,hf_createdat
opt-iml-max-30b,facebook/opt-iml-max-30b,,facebook,,,6.0,6.0,45.28,open,,,,,,,,,2023-01,,,,,,hf_createdat
xglm-1.7B,facebook/xglm-1.7B,,facebook,,,6.0,6.0,31.42,open,,,,,,,,,2021-12,,,,,,sourced_evidence
xglm-4.5B,facebook/xglm-4.5B,,facebook,,,6.0,6.0,34.31,open,,,,,,,,,2021-12,,,,,,sourced_evidence
xglm-564M,facebook/xglm-564M,,facebook,,,6.0,6.0,29.55,open,,,,,,,,,2021-12,,,,,,sourced_evidence
xglm-7.5B,facebook/xglm-7.5B,,facebook,,,6.0,6.0,36.38,open,,,,,,,,,2021-12,,,,,,sourced_evidence
codegemma-1.1-2b,google/codegemma-1.1-2b,,Google,,,6.0,6.0,7.13,open,,,,,,,,,2024-04,,,,,,hf_createdat
codegemma-2b,google/codegemma-2b,,Google,,,6.0,6.0,32.19,open,,,,,,,,,2024-04,,,,,,web_cited
codegemma-7b,google/codegemma-7b,,Google,,,6.0,6.0,56.73,open,,,,,,,,,2024-04,,,,,,web_cited
codegemma-7b-it,google/codegemma-7b-it,,Google,,,6.0,6.0,58.28,open,,,,,,,,,2024-03,,,,,,hf_createdat
flan-t5-base,google/flan-t5-base,,Google,,,6.0,6.0,6.42,open,,,,,,,,,2022-10,,,,,,hf_createdat
flan-t5-large,google/flan-t5-large,,Google,,,6.0,6.0,9.66,open,,,,,,,,,2022-10,,,,,,hf_createdat
flan-t5-small,google/flan-t5-small,,Google,,,6.0,6.0,6.13,open,,,,,,,,,2022-10,,,,,,hf_createdat
flan-t5-xl,google/flan-t5-xl,,Google,,,6.0,6.0,11.71,open,,,,,,,,,2022-10,,,,,,hf_createdat
flan-t5-xxl,google/flan-t5-xxl,,Google,,,9.0,9.0,24.77,open,,,,,,,,,2022-10,,,,,,hf_createdat
flan-ul2,google/flan-ul2,,Google,,,7.0,7.0,20.15,open,,,,,,,,,2023-03,,,,,,hf_createdat
gemma-2-2b-it,google/gemma-2-2b-it,,Google,,,7.0,7.0,180.18,open,,,,,,,,,2024-07,,,,,,hf_createdat
gemma-2-2b-jpn-it,google/gemma-2-2b-jpn-it,,Google,,,6.0,6.0,17.12,open,,,,,,,,,2024-09,,,,,,hf_createdat
gemma-2b,google/gemma-2b,,Google,,,12.0,12.0,26.85,open,,,,,,,,,2024,,,,,,corroborated_year
mt5-base,google/mt5-base,,Google,,,6.0,6.0,3.72,open,,,,,,,,,2019-10,,,,,,single_haiku
mt5-small,google/mt5-small,,Google,,,6.0,6.0,4.26,open,,,,,,,,,2019-10,,,,,,single_haiku
mt5-xl,google/mt5-xl,,Google,,,6.0,6.0,5.19,open,,,,,,,,,2019-10,,,,,,single_haiku
recurrentgemma-2b,google/recurrentgemma-2b,,Google,,,12.0,12.0,26.24,open,,,,,,,,,2024-04,,,,,,web_cited
recurrentgemma-2b-it,google/recurrentgemma-2b-it,,Google,,,12.0,12.0,24.43,open,,,,,,,,,2024-04,,,,,,hf_createdat
recurrentgemma-9b,google/recurrentgemma-9b,,Google,,,6.0,6.0,13.71,open,,,,,,,,,2024-04,,,,,,web_cited
recurrentgemma-9b-it,google/recurrentgemma-9b-it,,Google,,,6.0,6.0,19.22,open,,,,,,,,,2024-06,,,,,,hf_createdat
switch-base-8,google/switch-base-8,,Google,,,6.0,6.0,3.30,open,,,,,,,,,2022-10,,,,,,hf_createdat
umt5-base,google/umt5-base,,Google,,,6.0,6.0,3.52,open,,,,,,,,,2023-07,,,,,,hf_createdat
Llama-3-8B-Instruct-Gradient-1048k,gradientai/Llama-3-8B-Instruct-Gradient-1048k,,gradientai,,,6.0,6.0,18.28,open,,,,,,,,,2024-04,,,,,,hf_createdat
granite-3.0-1b-a400m-base,ibm-granite/granite-3.0-1b-a400m-base,,ibm-granite,,,6.0,6.0,6.03,open,,,,,,,,,2024-10,,,,,,hf_createdat
granite-3.0-1b-a400m-instruct,ibm-granite/granite-3.0-1b-a400m-instruct,,ibm-granite,,,6.0,6.0,8.07,open,,,,,,,,,2024-10,,,,,,hf_createdat
granite-3.0-2b-base,ibm-granite/granite-3.0-2b-base,,ibm-granite,,,6.0,6.0,14.10,open,,,,,,,,,2024-10,,,,,,hf_createdat
granite-3.0-3b-a800m-base,ibm-granite/granite-3.0-3b-a800m-base,,ibm-granite,,,6.0,6.0,9.49,open,,,,,,,,,2024-10,,,,,,hf_createdat
granite-3.0-3b-a800m-instruct,ibm-granite/granite-3.0-3b-a800m-instruct,,ibm-granite,,,6.0,6.0,13.70,open,,,,,,,,,2024-10,,,,,,hf_createdat
granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,,ibm-granite,,,6.0,6.0,21.69,open,,,,,,,,,2024-10,,,,,,hf_createdat
granite-3.1-1b-a400m-base,ibm-granite/granite-3.1-1b-a400m-base,,ibm-granite,,,6.0,6.0,6.31,open,,,,,,,,,2024-12,,,,,,hf_createdat
granite-3.1-1b-a400m-instruct,ibm-granite/granite-3.1-1b-a400m-instruct,,ibm-granite,,,6.0,6.0,10.13,open,,,,,,,,,2024-12,,,,,,hf_createdat
granite-3.1-2b-base,ibm-granite/granite-3.1-2b-base,,ibm-granite,,,6.0,6.0,13.20,open,,,,,,,,,2024-12,,,,,,hf_createdat
granite-3.1-2b-instruct,ibm-granite/granite-3.1-2b-instruct,,ibm-granite,,,7.0,7.0,180.75,open,,,,,,,,,2024-12,,,,,,hf_createdat
granite-3.1-3b-a800m-base,ibm-granite/granite-3.1-3b-a800m-base,,ibm-granite,,,6.0,6.0,10.00,open,,,,,,,,,2024-12,,,,,,hf_createdat
granite-3.1-3b-a800m-instruct,ibm-granite/granite-3.1-3b-a800m-instruct,,ibm-granite,,,6.0,6.0,17.28,open,,,,,,,,,2024-12,,,,,,hf_createdat
granite-3.1-8b-base,ibm-granite/granite-3.1-8b-base,,ibm-granite,,,6.0,6.0,20.06,open,,,,,,,,,2024-12,,,,,,hf_createdat
granite-3.1-8b-instruct,ibm-granite/granite-3.1-8b-instruct,,ibm-granite,,,7.0,7.0,191.66,open,,,,,,,,,2024-12,,,,,,hf_createdat
granite-3.2-2b-instruct,ibm-granite/granite-3.2-2b-instruct,,ibm-granite,,,6.0,6.0,21.25,open,,,,,,,,,2025-02,,,,,,hf_createdat
granite-3.2-8b-instruct,ibm-granite/granite-3.2-8b-instruct,,ibm-granite,,,6.0,6.0,30.77,open,,,,,,,,,2025-02,,,,,,hf_createdat
granite-7b-base,ibm-granite/granite-7b-base,,ibm-granite,,,6.0,6.0,7.91,open,,,,,,,,,2024-04,,,,,,hf_createdat
granite-7b-instruct,ibm-granite/granite-7b-instruct,,ibm-granite,,,6.0,6.0,12.03,open,,,,,,,,,2024-05,,,,,,hf_createdat
PowerLM-3b,ibm/PowerLM-3b,,ibm,,,6.0,6.0,11.52,open,,,,,,,,,2024-08,,,,,,hf_createdat
merlinite-7b,ibm/merlinite-7b,,ibm,,,12.0,12.0,40.38,open,,,,,,,,,2024-03,,,,,,hf_createdat
internlm-20b,internlm/internlm-20b,,internlm,,,7.0,7.0,58.83,open,,,,,,,,,2023-09,,,,,,hf_createdat
internlm-20b-chat,internlm/internlm-20b-chat,,internlm,,,6.0,6.0,55.53,open,,,,,,,,,2023-09,,,,,,hf_createdat
internlm2-1_8b,internlm/internlm2-1_8b,,internlm,,,6.0,6.0,8.75,open,,,,,,,,,2024-01,,,,,,hf_createdat
internlm2-20b,internlm/internlm2-20b,,internlm,,,6.0,6.0,69.75,open,,,,,,,,,2024-01,,,,,,hf_createdat
internlm2-7b,internlm/internlm2-7b,,internlm,,,12.0,12.0,42.30,open,,,,,,,,,2024-01,,,,,,hf_createdat
internlm2-chat-1_8b,internlm/internlm2-chat-1_8b,,internlm,,,6.0,6.0,10.64,open,,,,,,,,,2024-01,,,,,,hf_createdat
internlm2_5-1_8b-chat,internlm/internlm2_5-1_8b-chat,,internlm,,,6.0,6.0,14.75,open,,,,,,,,,2024-07,,,,,,hf_createdat
internlm2_5-20b-chat,internlm/internlm2_5-20b-chat,,internlm,,,7.0,7.0,199.61,open,,,,,,,,,2024-07,,,,,,hf_createdat
internlm2_5-7b-chat,internlm/internlm2_5-7b-chat,,internlm,,,6.0,6.0,32.97,open,,,,,,,,,2024-06,,,,,,hf_createdat
helium-1-preview-2b,kyutai/helium-1-preview-2b,,kyutai,,,6.0,6.0,9.33,open,,,,,,,,,2025-01,,,,,,hf_createdat
longchat-13b-16k,lmsys/longchat-13b-16k,LLaMA,LMSYS,,,6.0,6.0,49.64,open,,,,LLaMA 13B,,,,,2023-06,,,,,,hf_createdat
longchat-7b-v1.5-32k,lmsys/longchat-7b-v1.5-32k,LLaMA 2,LMSYS,,,6.0,6.0,47.95,open,,,,Llama-2-7B,,,,,2023-08,,,,,,hf_createdat
vicuna-13b-delta-v1.1,lmsys/vicuna-13b-delta-v1.1,,lmsys,,,6.0,6.0,53.28,open,,,,,,,,,2023-03,,,,,,corroborated_month
vicuna-13b-v1.1,lmsys/vicuna-13b-v1.1,,lmsys,,,6.0,6.0,53.28,open,,,,,,,,,2023-03,,,,,,corroborated_month
vicuna-13b-v1.3,lmsys/vicuna-13b-v1.3,,lmsys,,,12.0,12.0,32.35,open,,,,,,,,,2023,,,,,,corroborated_year
vicuna-13b-v1.5,lmsys/vicuna-13b-v1.5,,lmsys,,,7.0,7.0,47.60,open,,,,,,,,,2023,,,,,,corroborated_year
vicuna-13b-v1.5-16k,lmsys/vicuna-13b-v1.5-16k,,lmsys,,,6.0,6.0,54.97,open,,,,,,,,,2023,,,,,,corroborated_year
vicuna-33b-v1.3,lmsys/vicuna-33b-v1.3,,lmsys,,,7.0,7.0,208.18,open,,,,,,,,,2023,,,,,,corroborated_year
vicuna-7b-delta-v1.1,lmsys/vicuna-7b-delta-v1.1,,lmsys,,,6.0,6.0,50.37,open,,,,,,,,,2023-03,,,,,,corroborated_month
vicuna-7b-v1.3,lmsys/vicuna-7b-v1.3,,lmsys,,,12.0,12.0,29.15,open,,,,,,,,,2023,,,,,,corroborated_year
vicuna-7b-v1.5,lmsys/vicuna-7b-v1.5,,lmsys,,,14.0,14.0,28.80,open,,,,,,,,,2023,,,,,,corroborated_year
vicuna-7b-v1.5-16k,lmsys/vicuna-7b-v1.5-16k,,lmsys,,,6.0,6.0,51.56,open,,,,,,,,,2023,,,,,,corroborated_year
Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-chat-hf,,Meta,,,13.0,13.0,30.54,open,,,,,,,,,2023-07,,,,,,corroborated_month
Llama-2-13b-hf,meta-llama/Llama-2-13b-hf,,Meta,,,13.0,13.0,30.86,open,,,,,,,,,2023-07,,,,,,corroborated_month
Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-chat-hf,,Meta,,,12.0,12.0,37.73,open,,,,,,,,,2023-07,,,,,,corroborated_month
Llama-2-70b-hf,meta-llama/Llama-2-70b-hf,,Meta,,,15.0,15.0,40.23,open,,,,,,,,,2023-07,,,,,,corroborated_month
Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,,Meta,,,13.0,13.0,27.91,open,,,,,,,,,2023-07,,,,,,corroborated_month
Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,,Meta,,,14.0,14.0,26.84,open,,,,,,,,,2023-07,,,,,,corroborated_month
Llama-3.1-8B,meta-llama/Llama-3.1-8B,,Meta,,,8.0,10.0,24.09,open,,,,,,,,,2024-07,,,,,,hf_createdat
Llama-3.2-1B,meta-llama/Llama-3.2-1B,,Meta,,,8.0,9.0,20.21,open,,,,,,,,,2024-09,,,,,,hf_createdat
Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,,Meta,,,9.0,9.0,129.67,open,,,,,,,,,2024-09,,,,,,hf_createdat
Llama-3.2-3B,meta-llama/Llama-3.2-3B,,Meta,,,7.0,8.0,21.49,open,,,,,,,,,2024-09,,,,,,hf_createdat
Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,,Meta,,,8.0,8.0,160.65,open,,,,,,,,,2024-09,,,,,,hf_createdat
Meta-Llama-3-70B,meta-llama/Meta-Llama-3-70B,,Meta,,,15.0,15.0,49.15,open,,,,,,,,,2024-04,,,,,,hf_createdat
Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B,,Meta,,,13.0,13.0,37.15,open,,,,,,,,,2024-04,,,,,,hf_createdat
MetaMath-13B-V1.0,meta-math/MetaMath-13B-V1.0,,meta-math,,,6.0,6.0,52.71,open,,,,,,,,,2023-09,,,,,,hf_createdat
MetaMath-70B-V1.0,meta-math/MetaMath-70B-V1.0,,meta-math,,,6.0,6.0,67.02,open,,,,,,,,,2023-09,,,,,,hf_createdat
MetaMath-Llemma-7B,meta-math/MetaMath-Llemma-7B,,meta-math,,,6.0,6.0,53.19,open,,,,,,,,,2023-11,,,,,,hf_createdat
MetaMath-Mistral-7B,meta-math/MetaMath-Mistral-7B,,meta-math,,,6.0,7.0,67.49,open,,,,,,,,,2023,,,,,,corroborated_year
CodeGPT-small-py,microsoft/CodeGPT-small-py,,Microsoft,,,6.0,6.0,29.17,open,,,,,,,,,2021,,,,,,single_haiku
DialoGPT-large,microsoft/DialoGPT-large,,Microsoft,,,6.0,6.0,29.27,open,,,,,,,,,2020-11,,,,,,single_haiku
DialoGPT-medium,microsoft/DialoGPT-medium,,Microsoft,,,12.0,12.0,17.06,open,,,,,,,,,2020-11,,,,,,single_haiku
DialoGPT-small,microsoft/DialoGPT-small,,Microsoft,,,6.0,6.0,29.19,open,,,,,,,,,2020-11,,,,,,single_haiku
Orca-2-13b,microsoft/Orca-2-13b,,Microsoft,,,13.0,14.0,42.86,open,,,,,,,,,2023-11,,,,,,hf_createdat
Orca-2-7b,microsoft/Orca-2-7b,,Microsoft,,,13.0,14.0,37.23,open,,,,,,,,,2023-11,,,,,,hf_createdat
Phi-3-medium-128k-instruct,microsoft/Phi-3-medium-128k-instruct,,Microsoft,,,12.0,12.0,52.51,open,,,,,,,,,2024-05,,,,,,hf_createdat
Phi-3-medium-4k-instruct,microsoft/Phi-3-medium-4k-instruct,,Microsoft,,,13.0,13.0,136.71,open,,,,,,,,,2024-05,,,,,,hf_createdat
Phi-3-mini-128k-instruct,microsoft/Phi-3-mini-128k-instruct,,Microsoft,,,14.0,14.0,116.12,open,,,,,,,,,2024-04,,,,,,hf_createdat
Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,,Microsoft,,,13.0,13.0,127.40,open,,,,,,,,,2024-04,,,,,,hf_createdat
Phi-3-small-128k-instruct,microsoft/Phi-3-small-128k-instruct,,Microsoft,,,6.0,6.0,31.97,open,,,,,,,,,2024-05,,,,,,hf_createdat
Phi-3-small-8k-instruct,microsoft/Phi-3-small-8k-instruct,,Microsoft,,,7.0,7.0,187.29,open,,,,,,,,,2024-05,,,,,,hf_createdat
Phi-4-mini-instruct,microsoft/Phi-4-mini-instruct,,Microsoft,,,6.0,6.0,29.41,open,,,,,,,,,2025-02,,,,,,hf_createdat
WizardLM-2-7B,microsoft/WizardLM-2-7B,,Microsoft,,,7.0,7.0,55.10,open,,,,,,,,,2024,,,,,,single_haiku
phi-1,microsoft/phi-1,,Microsoft,,,7.0,7.0,6.65,open,,,,,,,,,2023,,,,,,corroborated_year
phi-2,microsoft/phi-2,,Microsoft,,,23.0,23.0,42.82,open,,,,,,,,,2023-11,,,,,,corroborated_month
rho-math-1b-v0.1,microsoft/rho-math-1b-v0.1,,Microsoft,,,6.0,6.0,34.99,open,,,,,,,,,2024-04,,,,,,hf_createdat
Mistral-7B-v0.2,mistral-community/Mistral-7B-v0.2,,mistral-community,,,12.0,12.0,37.29,open,,,,,,,,,2023-10,,,,,,sourced_evidence
mixtral-8x22B-v0.3,mistral-community/mixtral-8x22B-v0.3,,mistral-community,,,6.0,6.0,25.80,open,,,,,,,,,2024-04,,,,,,corroborated_month
Codestral-22B-v0.1,mistralai/Codestral-22B-v0.1,,Mistral AI,,,6.0,6.0,23.28,open,,,,,,,,,2024-05,,,,,,hf_createdat
Ministral-8B-Instruct-2410,mistralai/Ministral-8B-Instruct-2410,,Mistral AI,,,7.0,7.0,30.86,open,,,,,,,,,2024-10,,,,,,hf_createdat
Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1,,Mistral AI,,,20.0,20.0,87.97,open,,,,,,,,,2023-09,,,,,,corroborated_month
Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-Instruct-v0.2,,Mistral AI,,,14.0,14.0,114.13,open,,,,,,,,,2023-12,,,,,,hf_createdat
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,,Mistral AI,,,52.0,53.0,49.23,open,,,,,,,,,2023-10,,,,,,sourced_evidence
Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,,Mistral AI,,,12.0,12.0,37.26,open,,,,,,,,,2024-05,,,,,,hf_createdat
Mistral-Large-Instruct-2411,mistralai/Mistral-Large-Instruct-2411,,Mistral AI,,,6.0,6.0,46.52,open,,,,,,,,,2024-11,,,,,,hf_createdat
Mistral-Nemo-Base-2407,mistralai/Mistral-Nemo-Base-2407,,Mistral AI,,,6.0,6.0,15.24,open,,,,,,,,,2024-07,,,,,,hf_createdat
Mistral-Nemo-Instruct-2407,mistralai/Mistral-Nemo-Instruct-2407,,Mistral AI,,,6.0,6.0,24.67,open,,,,,,,,,2024-07,,,,,,hf_createdat
Mistral-Small-24B-Base-2501,mistralai/Mistral-Small-24B-Base-2501,,Mistral AI,,,6.0,6.0,27.20,open,,,,,,,,,2025-01,,,,,,hf_createdat
Mistral-Small-Instruct-2409,mistralai/Mistral-Small-Instruct-2409,,Mistral AI,,,6.0,6.0,26.26,open,,,,,,,,,2024-09,,,,,,hf_createdat
Mixtral-8x22B-v0.1,mistralai/Mixtral-8x22B-v0.1,,Mistral AI,,,12.0,12.0,45.65,open,,,,,,,,,2024-04,,,,,,hf_createdat
Mixtral-8x7B-v0.1,mistralai/Mixtral-8x7B-v0.1,,Mistral AI,,,31.0,32.0,50.19,open,,,,,,,,,2023-12,,,,,,sourced_evidence
AlphaMonarch-7B,mlabonne/AlphaMonarch-7B,,mlabonne,,,6.0,6.0,17.63,open,,,,,,,,,2024-06,,,,,,sourced_evidence
Beyonder-4x7B-v3,mlabonne/Beyonder-4x7B-v3,,mlabonne,,,6.0,6.0,19.41,open,,,,,,,,,2024-03,,,,,,hf_createdat
BigQwen2.5-52B-Instruct,mlabonne/BigQwen2.5-52B-Instruct,,mlabonne,,,6.0,6.0,43.55,open,,,,,,,,,2024-09,,,,,,hf_createdat
BigQwen2.5-Echo-47B-Instruct,mlabonne/BigQwen2.5-Echo-47B-Instruct,,mlabonne,,,6.0,6.0,37.03,open,,,,,,,,,2024-09,,,,,,hf_createdat
ChimeraLlama-3-8B-v2,mlabonne/ChimeraLlama-3-8B-v2,,mlabonne,,,6.0,6.0,20.12,open,,,,,,,,,2024-04,,,,,,hf_createdat
ChimeraLlama-3-8B-v3,mlabonne/ChimeraLlama-3-8B-v3,,mlabonne,,,6.0,6.0,20.70,open,,,,,,,,,2024-05,,,,,,hf_createdat
Daredevil-8B,mlabonne/Daredevil-8B,,mlabonne,,,6.0,6.0,22.41,open,,,,,,,,,2024-05,,,,,,web_verified
Daredevil-8B-abliterated,mlabonne/Daredevil-8B-abliterated,,mlabonne,,,6.0,6.0,19.69,open,,,,,,,,,2024-05,,,,,,hf_createdat
Hermes-3-Llama-3.1-70B-lorablated,mlabonne/Hermes-3-Llama-3.1-70B-lorablated,,mlabonne,,,6.0,6.0,31.75,open,,,,,,,,,2022-12,,,,,,sourced_evidence
Meta-Llama-3.1-8B-Instruct-abliterated,mlabonne/Meta-Llama-3.1-8B-Instruct-abliterated,,mlabonne,,,6.0,6.0,23.20,open,,,,,,,,,2024-07,,,,,,hf_createdat
NeuralBeagle14-7B,mlabonne/NeuralBeagle14-7B,,mlabonne,,,6.0,6.0,18.91,open,,,,,,,,,2024-06,,,,,,sourced_evidence
NeuralDaredevil-8B-abliterated,mlabonne/NeuralDaredevil-8B-abliterated,,mlabonne,,,6.0,6.0,27.19,open,,,,,,,,,2024-05,,,,,,hf_createdat
OrpoLlama-3-8B,mlabonne/OrpoLlama-3-8B,,mlabonne,,,6.0,6.0,15.16,open,,,,,,,,,2024-04,,,,,,hf_createdat
phixtral-2x2_8,mlabonne/phixtral-2x2_8,,mlabonne,,,6.0,6.0,15.55,open,,,,,,,,,2024-01,,,,,,hf_createdat
mpt-30b-instruct,mosaicml/mpt-30b-instruct,,mosaicml,,,7.0,7.0,45.88,open,,,,,,,,,2023-05,,,,,,single_haiku
mpt-7b,mosaicml/mpt-7b,,mosaicml,,,13.0,13.0,29.83,open,,,,,,,,,2023-05,,,,,,single_haiku
mpt-7b-8k,mosaicml/mpt-7b-8k,,mosaicml,,,6.0,6.0,47.24,open,,,,,,,,,2023-06,,,,,,single_haiku
mpt-7b-8k-chat,mosaicml/mpt-7b-8k-chat,,mosaicml,,,6.0,6.0,47.78,open,,,,,,,,,2023-06,,,,,,single_haiku
mpt-7b-8k-instruct,mosaicml/mpt-7b-8k-instruct,,mosaicml,,,6.0,6.0,47.18,open,,,,,,,,,2023-06,,,,,,single_haiku
mpt-7b-chat,mosaicml/mpt-7b-chat,,mosaicml,,,7.0,7.0,173.62,open,,,,,,,,,2023-05,,,,,,single_haiku
mpt-7b-instruct,mosaicml/mpt-7b-instruct,,mosaicml,,,6.0,6.0,44.83,open,,,,,,,,,2023-05,,,,,,single_haiku
mpt-7b-storywriter,mosaicml/mpt-7b-storywriter,,mosaicml,,,6.0,6.0,39.31,open,,,,,,,,,2023-05,,,,,,single_haiku
AceInstruct-1.5B,nvidia/AceInstruct-1.5B,,nvidia,,,6.0,6.0,18.12,open,,,,,,,,,2024-12,,,,,,web_verified
AceInstruct-72B,nvidia/AceInstruct-72B,,nvidia,,,6.0,6.0,40.41,open,,,,,,,,,2024-12,,,,,,web_verified
AceInstruct-7B,nvidia/AceInstruct-7B,,nvidia,,,6.0,6.0,33.06,open,,,,,,,,,2024-12,,,,,,web_verified
AceMath-1.5B-Instruct,nvidia/AceMath-1.5B-Instruct,,nvidia,,,6.0,6.0,20.19,open,,,,,,,,,2025-01,,,,,,hf_createdat
AceMath-72B-Instruct,nvidia/AceMath-72B-Instruct,,nvidia,,,6.0,6.0,36.66,open,,,,,,,,,2025-01,,,,,,hf_createdat
AceMath-72B-RM,nvidia/AceMath-72B-RM,,nvidia,,,6.0,6.0,3.43,open,,,,,,,,,2025-01,,,,,,hf_createdat
AceMath-7B-Instruct,nvidia/AceMath-7B-Instruct,,nvidia,,,6.0,6.0,30.33,open,,,,,,,,,2025-01,,,,,,hf_createdat
AceMath-7B-RM,nvidia/AceMath-7B-RM,,nvidia,,,6.0,6.0,3.22,open,,,,,,,,,2025-01,,,,,,hf_createdat
Hymba-1.5B-Base,nvidia/Hymba-1.5B-Base,,nvidia,,,6.0,6.0,8.04,open,,,,,,,,,2024-10,,,,,,hf_createdat
Hymba-1.5B-Instruct,nvidia/Hymba-1.5B-Instruct,,nvidia,,,6.0,6.0,14.19,open,,,,,,,,,2024-10,,,,,,hf_createdat
Llama-3.1-Minitron-4B-Depth-Base,nvidia/Llama-3.1-Minitron-4B-Depth-Base,,nvidia,,,6.0,6.0,11.66,open,,,,,,,,,2024-08,,,,,,hf_createdat
Llama3-ChatQA-1.5-70B,nvidia/Llama3-ChatQA-1.5-70B,,nvidia,,,6.0,6.0,71.46,open,,,,,,,,,2024-04,,,,,,hf_createdat
Llama3-ChatQA-1.5-8B,nvidia/Llama3-ChatQA-1.5-8B,,nvidia,,,6.0,6.0,56.71,open,,,,,,,,,2024-04,,,,,,hf_createdat
Minitron-4B-Base,nvidia/Minitron-4B-Base,,nvidia,,,6.0,6.0,11.98,open,,,,,,,,,2024-07,,,,,,hf_createdat
Minitron-8B-Base,nvidia/Minitron-8B-Base,,nvidia,,,6.0,6.0,14.22,open,,,,,,,,,2024-07,,,,,,hf_createdat
Mistral-NeMo-Minitron-8B-Base,nvidia/Mistral-NeMo-Minitron-8B-Base,,nvidia,,,6.0,6.0,17.70,open,,,,,,,,,2024-08,,,,,,hf_createdat
Mistral-NeMo-Minitron-8B-Instruct,nvidia/Mistral-NeMo-Minitron-8B-Instruct,,nvidia,,,6.0,6.0,23.57,open,,,,,,,,,2024-10,,,,,,hf_createdat
Nemotron-Mini-4B-Instruct,nvidia/Nemotron-Mini-4B-Instruct,,nvidia,,,6.0,6.0,18.36,open,,,,,,,,,2024-09,,,,,,hf_createdat
OpenMath-Mistral-7B-v0.1-hf,nvidia/OpenMath-Mistral-7B-v0.1-hf,,nvidia,,,6.0,6.0,54.00,open,,,,,,,,,2024-02,,,,,,hf_createdat
OpenMath2-Llama3.1-8B,nvidia/OpenMath2-Llama3.1-8B,,nvidia,,,8.0,8.0,29.50,open,,,,,,,,,2024-09,,,,,,hf_createdat
GPT-2 Large (774M),openai-community/gpt2-large,,openai-community,,,15.0,15.0,22.93,open,,,,,,,,,2019-10,,,,,,sourced_evidence
GPT-2 Medium (355M),openai-community/gpt2-medium,,openai-community,,,8.0,8.0,10.57,open,,,,,,,,,2019-10,,,,,,sourced_evidence
openchat-3.5-0106,openchat/openchat-3.5-0106,Mistral,OpenChat,,,13.0,13.0,127.55,open,,,,Mistral v0.1 (7B),,,,,2023-09,,,,,,sourced_evidence
